title,link,author,tickers,pubDate,guid
Freeport-McMoRan - The Good News Has Arrived?,https://seekingalpha.com/article/4060194-freeport-mcmoran-good-news-arrived?source=feed_articles_stock_ideas_quick_picks,,FCX,"['Tue, 04 Apr 2017 14:26:18 -0400']",https://seekingalpha.com/article/4060194-freeport-mcmoran-good-news-arrived?source=feed_articles_stock_ideas_quick_picks
Private Equity Masquerade,https://seekingalpha.com/article/4060195-private-equity-masquerade?source=feed_articles_stock_ideas_quick_picks,,"AMZN,GOOG,GOOGL,LEN,AMGN,UBER,AIRB,ALK","['Tue, 04 Apr 2017 14:00:11 -0400']",https://seekingalpha.com/article/4060195-private-equity-masquerade?source=feed_articles_stock_ideas_quick_picks
Wal-Mart: Will Innovation Pay Off Against Amazon?,https://seekingalpha.com/article/4060193-wal-mart-will-innovation-pay-amazon?source=feed_articles_stock_ideas_quick_picks,,"AMZN,WMT","['Tue, 04 Apr 2017 13:56:02 -0400']",https://seekingalpha.com/article/4060193-wal-mart-will-innovation-pay-amazon?source=feed_articles_stock_ideas_quick_picks
Peabody Emerges From Bankruptcy,https://seekingalpha.com/article/4060189-peabody-emerges-bankruptcy?source=feed_articles_stock_ideas_quick_picks,,"BIREF,ENBL,NFX,PBA,PTORF,BTU","['Tue, 04 Apr 2017 13:35:46 -0400']",https://seekingalpha.com/article/4060189-peabody-emerges-bankruptcy?source=feed_articles_stock_ideas_quick_picks
How Chinese Mobile Payments Are Quietly Conquering The World,https://seekingalpha.com/article/4060178-chinese-mobile-payments-quietly-conquering-world?source=feed_articles_stock_ideas_quick_picks,,"BABA,TCEHY,SSNLF","['Tue, 04 Apr 2017 13:06:07 -0400']",https://seekingalpha.com/article/4060178-chinese-mobile-payments-quietly-conquering-world?source=feed_articles_stock_ideas_quick_picks
Would A New Hemophilia Approval Turn Around Novo Nordisk's Fortunes?,https://seekingalpha.com/article/4060122-new-hemophilia-approval-turn-around-novo-nordisks-fortunes?source=feed_articles_stock_ideas_quick_picks,,NVO,"['Tue, 04 Apr 2017 10:12:09 -0400']",https://seekingalpha.com/article/4060122-new-hemophilia-approval-turn-around-novo-nordisks-fortunes?source=feed_articles_stock_ideas_quick_picks
"Biotech Forum Daily Digest: Acorda Therapeutics' Bleak Future, Invitae's Roll Continues",https://seekingalpha.com/article/4060102-biotech-forum-daily-digest-acorda-therapeutics-bleak-future-invitaes-roll-continues?source=feed_articles_stock_ideas_quick_picks,,"ACOR,ALNY,CEMP,IBB,KITE,NVTA,PRTK,RVNC,ZLTQ","['Tue, 04 Apr 2017 08:20:14 -0400']",https://seekingalpha.com/article/4060102-biotech-forum-daily-digest-acorda-therapeutics-bleak-future-invitaes-roll-continues?source=feed_articles_stock_ideas_quick_picks
Could This CBC 'Trigger Event' Send TD Stock Plunging?,https://seekingalpha.com/article/4060064-cbc-trigger-event-send-td-stock-plunging?source=feed_articles_stock_ideas_quick_picks,,TD,"['Tue, 04 Apr 2017 07:25:39 -0400']",https://seekingalpha.com/article/4060064-cbc-trigger-event-send-td-stock-plunging?source=feed_articles_stock_ideas_quick_picks
"Check Out These 7 High-ROE, Low-Debt Companies",https://seekingalpha.com/article/4060055-check-7-high-roe-low-debt-companies?source=feed_articles_stock_ideas_quick_picks,,"AGX,ATRI,CLCT,PAYX,PLOW,USPH,WSM","['Tue, 04 Apr 2017 06:14:32 -0400']",https://seekingalpha.com/article/4060055-check-7-high-roe-low-debt-companies?source=feed_articles_stock_ideas_quick_picks
Amazon Keeps Piling On New Initiatives - While Old Ones Are Ready To Take Off,https://seekingalpha.com/article/4060224-amazon-keeps-piling-new-initiatives-old-ones-ready-take?source=feed_articles_stock_ideas_long_ideas,,"JCP,M,PYPL,SHLD,WMT,AMZN","['Tue, 04 Apr 2017 14:31:44 -0400']",https://seekingalpha.com/article/4060224-amazon-keeps-piling-new-initiatives-old-ones-ready-take?source=feed_articles_stock_ideas_long_ideas
Sysco: Shares Overpriced As Near-Term Adversities Overshadow Long-Term Positives,https://seekingalpha.com/article/4059889-sysco-shares-overpriced-near-term-adversities-overshadow-long-term-positives?source=feed_articles_stock_ideas_quick_picks,,SYY,"['Tue, 04 Apr 2017 06:00:00 -0400']",https://seekingalpha.com/article/4059889-sysco-shares-overpriced-near-term-adversities-overshadow-long-term-positives?source=feed_articles_stock_ideas_quick_picks
Why Bill Ackman Really Left Valeant,https://seekingalpha.com/article/4060196-bill-ackman-really-left-valeant?source=feed_articles_stock_ideas_long_ideas,,VRX,"['Tue, 04 Apr 2017 14:30:35 -0400']",https://seekingalpha.com/article/4060196-bill-ackman-really-left-valeant?source=feed_articles_stock_ideas_long_ideas
A Look At Allergan's Growth Catalysts,https://seekingalpha.com/article/4060203-look-allergans-growth-catalysts?source=feed_articles_stock_ideas_long_ideas,,"AMGN,LLY,NVS,NVSEF,GILD,AGN","['Tue, 04 Apr 2017 14:10:29 -0400']",https://seekingalpha.com/article/4060203-look-allergans-growth-catalysts?source=feed_articles_stock_ideas_long_ideas
Monthly Performance Review - March 2017,https://seekingalpha.com/article/4060042-monthly-performance-review-march-2017?source=feed_articles_stock_ideas_quick_picks,,"ADES,BSHI,LGL,MSN,PARF,PFIN,PICO,SPKE,TNRK,UCP,VUZI,WILC,WRLD","['Tue, 04 Apr 2017 05:23:51 -0400']",https://seekingalpha.com/article/4060042-monthly-performance-review-march-2017?source=feed_articles_stock_ideas_quick_picks
Stella Jones Inc.: Is It The Right Time To Buy?,https://seekingalpha.com/article/4060200-stella-jones-inc-right-time-buy?source=feed_articles_stock_ideas_long_ideas,,STLJF,"['Tue, 04 Apr 2017 14:08:06 -0400']",https://seekingalpha.com/article/4060200-stella-jones-inc-right-time-buy?source=feed_articles_stock_ideas_long_ideas
Defense Sector Update: Russian Hypersonic Ship Killers,https://seekingalpha.com/article/4060041-defense-sector-update-russian-hypersonic-ship-killers?source=feed_articles_stock_ideas_quick_picks,,"BA,BAESY,GD,HII,KTOS,LMT,NOC,OSK,RTN,UTX","['Tue, 04 Apr 2017 05:15:31 -0400']",https://seekingalpha.com/article/4060041-defense-sector-update-russian-hypersonic-ship-killers?source=feed_articles_stock_ideas_quick_picks
Aurinia Pharmaceuticals: Regulatory And Clinical Change Is Not A Concern,https://seekingalpha.com/article/4060188-aurinia-pharmaceuticals-regulatory-clinical-change-concern?source=feed_articles_stock_ideas_long_ideas,,AUPH,"['Tue, 04 Apr 2017 14:04:03 -0400']",https://seekingalpha.com/article/4060188-aurinia-pharmaceuticals-regulatory-clinical-change-concern?source=feed_articles_stock_ideas_long_ideas
"General Electric: Analyst Says $27, I Say $18",https://seekingalpha.com/article/4060032-general-electric-analyst-says-27-say-18?source=feed_articles_stock_ideas_quick_picks,,GE,"['Tue, 04 Apr 2017 05:12:44 -0400']",https://seekingalpha.com/article/4060032-general-electric-analyst-says-27-say-18?source=feed_articles_stock_ideas_quick_picks
Addus HomeCare Is Positioned For Long-Term Growth,https://seekingalpha.com/article/4060029-addus-homecare-positioned-long-term-growth?source=feed_articles_stock_ideas_quick_picks,,ADUS,"['Tue, 04 Apr 2017 04:57:51 -0400']",https://seekingalpha.com/article/4060029-addus-homecare-positioned-long-term-growth?source=feed_articles_stock_ideas_quick_picks
Ecology And Environment Proxy Fight Good For All Shareholders - Even Those Fighting It,https://seekingalpha.com/article/4060186-ecology-environment-proxy-fight-good-shareholders-even-fighting?source=feed_articles_stock_ideas_long_ideas,,EEI,"['Tue, 04 Apr 2017 14:01:08 -0400']",https://seekingalpha.com/article/4060186-ecology-environment-proxy-fight-good-shareholders-even-fighting?source=feed_articles_stock_ideas_long_ideas
Bellatrix Exploration: Low Natural Gas Prices Hinder Ability To Get Above $1 USD,https://seekingalpha.com/article/4060028-bellatrix-exploration-low-natural-gas-prices-hinder-ability-get-1-usd?source=feed_articles_stock_ideas_quick_picks,,BXE,"['Tue, 04 Apr 2017 04:54:29 -0400']",https://seekingalpha.com/article/4060028-bellatrix-exploration-low-natural-gas-prices-hinder-ability-get-1-usd?source=feed_articles_stock_ideas_quick_picks
Seadrill Warns That Shareholders Will Get Minimal Recovery,https://seekingalpha.com/article/4060023-seadrill-warns-shareholders-will-get-minimal-recovery?source=feed_articles_stock_ideas_quick_picks,,SDRL,"['Tue, 04 Apr 2017 04:04:21 -0400']",https://seekingalpha.com/article/4060023-seadrill-warns-shareholders-will-get-minimal-recovery?source=feed_articles_stock_ideas_quick_picks
Air Lease Corp.: An Under The Rader Mid-Cap Growth Play,https://seekingalpha.com/article/4060179-air-lease-corp-rader-mid-cap-growth-play?source=feed_articles_stock_ideas_long_ideas,,AL,"['Tue, 04 Apr 2017 13:36:21 -0400']",https://seekingalpha.com/article/4060179-air-lease-corp-rader-mid-cap-growth-play?source=feed_articles_stock_ideas_long_ideas
Crop-Based Investing: Agribusiness,https://seekingalpha.com/article/4060022-crop-based-investing-agribusiness?source=feed_articles_stock_ideas_quick_picks,,"ADM,BAYRY,BG,CAT,DD,DE,DOW,INGR,MON,SYT,TSN","['Tue, 04 Apr 2017 03:58:55 -0400']",https://seekingalpha.com/article/4060022-crop-based-investing-agribusiness?source=feed_articles_stock_ideas_quick_picks
Fallen Stars: Lending Club,https://seekingalpha.com/article/4060004-fallen-stars-lending-club?source=feed_articles_stock_ideas_quick_picks,,LC,"['Tue, 04 Apr 2017 03:01:29 -0400']",https://seekingalpha.com/article/4060004-fallen-stars-lending-club?source=feed_articles_stock_ideas_quick_picks
Contura Energy Is Too Cheap To Ignore,https://seekingalpha.com/article/4060176-contura-energy-cheap-ignore?source=feed_articles_stock_ideas_long_ideas,,CNTE,"['Tue, 04 Apr 2017 12:57:41 -0400']",https://seekingalpha.com/article/4060176-contura-energy-cheap-ignore?source=feed_articles_stock_ideas_long_ideas
Ryerson's Management Yet To Prove Effectiveness Of The Turnaround Plan,https://seekingalpha.com/article/4059990-ryersons-management-yet-prove-effectiveness-turnaround-plan?source=feed_articles_stock_ideas_quick_picks,,RYI,"['Tue, 04 Apr 2017 01:23:12 -0400']",https://seekingalpha.com/article/4059990-ryersons-management-yet-prove-effectiveness-turnaround-plan?source=feed_articles_stock_ideas_quick_picks
Apple Expands Internal Development: How Much Could This Affect Intel And AMD?,https://seekingalpha.com/article/4060172-apple-expands-internal-development-much-affect-intel-amd?source=feed_articles_stock_ideas_long_ideas,,"QCOM,AAPL,INTC,AMD","['Tue, 04 Apr 2017 12:57:00 -0400']",https://seekingalpha.com/article/4060172-apple-expands-internal-development-much-affect-intel-amd?source=feed_articles_stock_ideas_long_ideas
BP Buys More Time And Gains Revenue Stream With Sale Of North Sea Pipeline,https://seekingalpha.com/article/4059983-bp-buys-time-gains-revenue-stream-sale-north-sea-pipeline?source=feed_articles_stock_ideas_quick_picks,,BP,"['Tue, 04 Apr 2017 00:05:47 -0400']",https://seekingalpha.com/article/4059983-bp-buys-time-gains-revenue-stream-sale-north-sea-pipeline?source=feed_articles_stock_ideas_quick_picks
Parks! America: Theme Park Turnaround Trading 4.2x EV/EBITDA; Management Buying Shares,https://seekingalpha.com/article/4060174-parks-america-theme-park-turnaround-trading-4_2x-ev-ebitda-management-buying-shares?source=feed_articles_stock_ideas_long_ideas,,"SEAS,FUN,SIX,PRKA","['Tue, 04 Apr 2017 12:46:33 -0400']",https://seekingalpha.com/article/4060174-parks-america-theme-park-turnaround-trading-4_2x-ev-ebitda-management-buying-shares?source=feed_articles_stock_ideas_long_ideas
5 Uber Cannibals To Beat The Market,https://seekingalpha.com/article/4059949-5-uber-cannibals-beat-market?source=feed_articles_stock_ideas_quick_picks,,"LOW,HCKT,NVR,SCSS,WLFC,JUNE","['Mon, 03 Apr 2017 17:59:02 -0400']",https://seekingalpha.com/article/4059949-5-uber-cannibals-beat-market?source=feed_articles_stock_ideas_quick_picks
Why A Premium TV Bundle Could Be Apple's Secret Weapon,https://seekingalpha.com/article/4060173-premium-tv-bundle-apples-secret-weapon?source=feed_articles_stock_ideas_long_ideas,,"T,TWX,AAPL","['Tue, 04 Apr 2017 12:44:23 -0400']",https://seekingalpha.com/article/4060173-premium-tv-bundle-apples-secret-weapon?source=feed_articles_stock_ideas_long_ideas
Buying Opportunity In This 6% Yielder,https://seekingalpha.com/article/4060169-buying-opportunity-6-percent-yielder?source=feed_articles_stock_ideas_long_ideas,,"JPM,SWDBF,SWDBY","['Tue, 04 Apr 2017 12:38:19 -0400']",https://seekingalpha.com/article/4060169-buying-opportunity-6-percent-yielder?source=feed_articles_stock_ideas_long_ideas
Mirati Pharma: What Differentiates It From The Pack?,https://seekingalpha.com/article/4059944-mirati-pharma-differentiates-pack?source=feed_articles_stock_ideas_quick_picks,,MRTX,"['Mon, 03 Apr 2017 17:23:06 -0400']",https://seekingalpha.com/article/4059944-mirati-pharma-differentiates-pack?source=feed_articles_stock_ideas_quick_picks
"Following In The Footsteps Of SpaceX, Tesla Will Disrupt The Car Industry",https://seekingalpha.com/article/4060163-following-footsteps-spacex-tesla-will-disrupt-car-industry?source=feed_articles_stock_ideas_long_ideas,,"SPACE,TSLA","['Tue, 04 Apr 2017 12:08:21 -0400']",https://seekingalpha.com/article/4060163-following-footsteps-spacex-tesla-will-disrupt-car-industry?source=feed_articles_stock_ideas_long_ideas
MannKind: Afrezza Scripts Remain Underwhelming,https://seekingalpha.com/article/4059918-mannkind-afrezza-scripts-remain-underwhelming?source=feed_articles_stock_ideas_quick_picks,,MNKD,"['Mon, 03 Apr 2017 15:34:00 -0400']",https://seekingalpha.com/article/4059918-mannkind-afrezza-scripts-remain-underwhelming?source=feed_articles_stock_ideas_quick_picks
Times Are Looking Good In Macau,https://seekingalpha.com/article/4059845-times-looking-good-macau?source=feed_articles_stock_ideas_quick_picks,,"LVS,MGM,WYNN,MPEL","['Mon, 03 Apr 2017 12:59:25 -0400']",https://seekingalpha.com/article/4059845-times-looking-good-macau?source=feed_articles_stock_ideas_quick_picks
Allergan: Dermatology Opportunities To Watch,https://seekingalpha.com/article/4060149-allergan-dermatology-opportunities-watch?source=feed_articles_stock_ideas_long_ideas,,AGN,"['Tue, 04 Apr 2017 12:01:31 -0400']",https://seekingalpha.com/article/4060149-allergan-dermatology-opportunities-watch?source=feed_articles_stock_ideas_long_ideas
T-Mobile: Run Of Remarkably Steady Profit Growth May End This Quarter,https://seekingalpha.com/article/4059829-t-mobile-run-remarkably-steady-profit-growth-may-end-quarter?source=feed_articles_stock_ideas_quick_picks,,"VZ,TMUS","['Mon, 03 Apr 2017 12:35:14 -0400']",https://seekingalpha.com/article/4059829-t-mobile-run-remarkably-steady-profit-growth-may-end-quarter?source=feed_articles_stock_ideas_quick_picks
General Motors: This Is Ridiculous,https://seekingalpha.com/article/4059827-general-motors-ridiculous?source=feed_articles_stock_ideas_quick_picks,,"F,GM","['Mon, 03 Apr 2017 12:30:57 -0400']",https://seekingalpha.com/article/4059827-general-motors-ridiculous?source=feed_articles_stock_ideas_quick_picks
Good Value At The Movies,https://seekingalpha.com/article/4060157-good-value-movies?source=feed_articles_stock_ideas_long_ideas,,"AMC,RGC,CNK","['Tue, 04 Apr 2017 11:53:50 -0400']",https://seekingalpha.com/article/4060157-good-value-movies?source=feed_articles_stock_ideas_long_ideas
"Finally, Some Good News For Oncolytics",https://seekingalpha.com/article/4059828-finally-good-news-oncolytics?source=feed_articles_stock_ideas_quick_picks,,ONCYF,"['Mon, 03 Apr 2017 12:01:41 -0400']",https://seekingalpha.com/article/4059828-finally-good-news-oncolytics?source=feed_articles_stock_ideas_quick_picks
Stocks For 2017 And Beyond - April Update,https://seekingalpha.com/article/4059797-stocks-2017-beyond-april-update?source=feed_articles_stock_ideas_quick_picks,,"AGN,BBBY,BIDU,COH,CYH,DIS,DISCA,FB,FOSL,GILD,GME,KATE,KORS,M,NKE,RL,SKX,UA,UAA,VRX","['Mon, 03 Apr 2017 10:09:16 -0400']",https://seekingalpha.com/article/4059797-stocks-2017-beyond-april-update?source=feed_articles_stock_ideas_quick_picks
7.5% Yield And 40% Upside At One Liberty Properties,https://seekingalpha.com/article/4059824-7_5-percent-yield-40-percent-upside-one-liberty-properties?source=feed_articles_stock_ideas_long_ideas,,OLP,"['Tue, 04 Apr 2017 11:43:34 -0400']",https://seekingalpha.com/article/4059824-7_5-percent-yield-40-percent-upside-one-liberty-properties?source=feed_articles_stock_ideas_long_ideas
This Silver Stock Excites Every Silver Bull,https://seekingalpha.com/article/4059780-silver-stock-excites-every-silver-bull?source=feed_articles_stock_ideas_quick_picks,,AG,"['Mon, 03 Apr 2017 09:36:05 -0400']",https://seekingalpha.com/article/4059780-silver-stock-excites-every-silver-bull?source=feed_articles_stock_ideas_quick_picks
Transocean Can Afford To Wait,https://seekingalpha.com/article/4060136-transocean-can-afford-wait?source=feed_articles_stock_ideas_long_ideas,,RIG,"['Tue, 04 Apr 2017 11:30:03 -0400']",https://seekingalpha.com/article/4060136-transocean-can-afford-wait?source=feed_articles_stock_ideas_long_ideas
Impact Of FDA Breakthrough Therapy Designation Speculative Biotechnology Stock Performance,https://seekingalpha.com/article/4059767-impact-fda-breakthrough-therapy-designation-speculative-biotechnology-stock-performance?source=feed_articles_stock_ideas_quick_picks,,"BLCM,BLUE,ONCE,QURE,TNXP,TRVN","['Mon, 03 Apr 2017 08:14:41 -0400']",https://seekingalpha.com/article/4059767-impact-fda-breakthrough-therapy-designation-speculative-biotechnology-stock-performance?source=feed_articles_stock_ideas_quick_picks
Out Of Favour GameStop Drops Into Bullish Territory,https://seekingalpha.com/article/4060134-favour-gamestop-drops-bullish-territory?source=feed_articles_stock_ideas_long_ideas,,GME,"['Tue, 04 Apr 2017 11:19:10 -0400']",https://seekingalpha.com/article/4060134-favour-gamestop-drops-bullish-territory?source=feed_articles_stock_ideas_long_ideas
Aquinox Pharmaceuticals: Patience Will Be Rewarded,https://seekingalpha.com/article/4060145-aquinox-pharmaceuticals-patience-will-rewarded?source=feed_articles_stock_ideas_long_ideas,,AQXP,"['Tue, 04 Apr 2017 11:17:48 -0400']",https://seekingalpha.com/article/4060145-aquinox-pharmaceuticals-patience-will-rewarded?source=feed_articles_stock_ideas_long_ideas
Wynn: Macau VIPs Should Rip Stock To $155,https://seekingalpha.com/article/4060132-wynn-macau-vips-rip-stock-155?source=feed_articles_stock_ideas_long_ideas,,WYNN,"['Tue, 04 Apr 2017 11:12:51 -0400']",https://seekingalpha.com/article/4060132-wynn-macau-vips-rip-stock-155?source=feed_articles_stock_ideas_long_ideas
Antares Pharma Set For Multiple Catalysts In 2017,https://seekingalpha.com/article/4060140-antares-pharma-set-multiple-catalysts-2017?source=feed_articles_stock_ideas_long_ideas,,"AMAG,AZN,LLY,MYL,TEVA,ATRS","['Tue, 04 Apr 2017 11:03:16 -0400']",https://seekingalpha.com/article/4060140-antares-pharma-set-multiple-catalysts-2017?source=feed_articles_stock_ideas_long_ideas
Potash: Just Too Much Supply,https://seekingalpha.com/article/4060121-potash-just-much-supply?source=feed_articles_stock_ideas_long_ideas,,POT,"['Tue, 04 Apr 2017 10:52:24 -0400']",https://seekingalpha.com/article/4060121-potash-just-much-supply?source=feed_articles_stock_ideas_long_ideas
Ring Energy: Sell Friday's Rally And Buy Callon Petroleum,https://seekingalpha.com/article/4059808-ring-energy-sell-fridays-rally-buy-callon-petroleum?source=feed_articles_stock_ideas_long_ideas,,"CPE,REI","['Tue, 04 Apr 2017 10:52:11 -0400']",https://seekingalpha.com/article/4059808-ring-energy-sell-fridays-rally-buy-callon-petroleum?source=feed_articles_stock_ideas_long_ideas
Archer Daniels Midland: 3 Reasons To Expect New Highs,https://seekingalpha.com/article/4060130-archer-daniels-midland-3-reasons-expect-new-highs?source=feed_articles_stock_ideas_long_ideas,,ADM,"['Tue, 04 Apr 2017 10:37:50 -0400']",https://seekingalpha.com/article/4060130-archer-daniels-midland-3-reasons-expect-new-highs?source=feed_articles_stock_ideas_long_ideas
Can Peru Power Higher Still? Yes!,https://seekingalpha.com/article/4060119-can-peru-power-higher-still-yes?source=feed_articles_stock_ideas_long_ideas,,EPU,"['Tue, 04 Apr 2017 10:36:23 -0400']",https://seekingalpha.com/article/4060119-can-peru-power-higher-still-yes?source=feed_articles_stock_ideas_long_ideas
Orocobre's Rapid Expansion Plans In Japan And The Puna Plateau,https://seekingalpha.com/article/4060115-orocobres-rapid-expansion-plans-japan-puna-plateau?source=feed_articles_stock_ideas_long_ideas,,OROCF,"['Tue, 04 Apr 2017 10:08:21 -0400']",https://seekingalpha.com/article/4060115-orocobres-rapid-expansion-plans-japan-puna-plateau?source=feed_articles_stock_ideas_long_ideas
Express: A Quality Retailer At 7x Free Cash Flow,https://seekingalpha.com/article/4060117-express-quality-retailer-7x-free-cash-flow?source=feed_articles_stock_ideas_long_ideas,,EXPR,"['Tue, 04 Apr 2017 09:57:50 -0400']",https://seekingalpha.com/article/4060117-express-quality-retailer-7x-free-cash-flow?source=feed_articles_stock_ideas_long_ideas
Xerox: Following Icahn But Without Paying For It,https://seekingalpha.com/article/4060111-xerox-following-icahn-without-paying?source=feed_articles_stock_ideas_long_ideas,,"SPLS,ODP,CDNTF,XRX","['Tue, 04 Apr 2017 09:48:45 -0400']",https://seekingalpha.com/article/4060111-xerox-following-icahn-without-paying?source=feed_articles_stock_ideas_long_ideas
Gilead Sciences: The Company Did Exactly As Promised,https://seekingalpha.com/article/4060110-gilead-sciences-company-exactly-promised?source=feed_articles_stock_ideas_long_ideas,,"AMGN,MRK,PFE,GILD,JNJ","['Tue, 04 Apr 2017 09:43:27 -0400']",https://seekingalpha.com/article/4060110-gilead-sciences-company-exactly-promised?source=feed_articles_stock_ideas_long_ideas
Aphria: A Well Oiled Machine,https://seekingalpha.com/article/4060107-aphria-well-oiled-machine?source=feed_articles_stock_ideas_long_ideas,,APHQF,"['Tue, 04 Apr 2017 08:51:17 -0400']",https://seekingalpha.com/article/4060107-aphria-well-oiled-machine?source=feed_articles_stock_ideas_long_ideas
